State_abbreviation,State,Plant_county,Burned_coal
AK,Alaska,Aleutians East,
AL,Alabama,Mobile,Yes
AL,Alabama,Etowah,
AL,Alabama,Walker,Yes
TX,Texas,El Paso,
AL,Alabama,Greene,
AL,Alabama,Shelby,Yes
MN,Minnesota,Watonwan,
AL,Alabama,Colbert,
LA,Louisiana,DeSoto,Yes
KY,Kentucky,Clark,
AL,Alabama,Washington,Yes
NE,Nebraska,Hall,Yes
NE,Nebraska,Adams,Yes
AK,Alaska,Juneau,
AK,Alaska,Juneau,
AK,Alaska,Skagway,
AK,Alaska,Haines,
AK,Alaska,Anchorage,
AK,Alaska,Fairbanks North Star,Yes
AK,Alaska,Ketchikan Gateway,
NM,New Mexico,McKinley,Yes
AK,Alaska,Nome,
AK,Alaska,Petersburg,
AK,Alaska,Kenai Peninsula,
AK,Alaska,Wrangell,
AK,Alaska,Kenai Peninsula,
WA,Washington,Pierce,
KS,Kansas,Finney,Yes
AK,Alaska,Dillingham,
AZ,Arizona,Navajo,Yes
AZ,Arizona,Cochise,
AZ,Arizona,Maricopa,
AZ,Arizona,Maricopa,
AZ,Arizona,Pinal,
AZ,Arizona,Yuma,
AZ,Arizona,Pima,
AZ,Arizona,Pima,
TX,Texas,Wilbarger,Yes
SC,South Carolina,Berkeley,Yes
FL,Florida,Putnam,Yes
AZ,Arizona,Maricopa,
AZ,Arizona,Maricopa,
CA,California,Stanislaus,
AZ,Arizona,Cochise,Yes
OK,Oklahoma,Mayes,Yes
AR,Arkansas,Hot Spring,
AR,Arkansas,Clay,
AR,Arkansas,Franklin,
AR,Arkansas,Woodruff,
AR,Arkansas,Ouachita,
CA,California,Humboldt,
CA,California,Monterey,
TX,Texas,Limestone,Yes
CA,California,San Diego,
CA,California,Los Angeles,
CA,California,Los Angeles,
CA,California,Orange,
CA,California,Los Angeles,
CA,California,Ventura,
CA,California,Los Angeles,
CA,California,San Bernardino,
CA,California,Los Angeles,
IL,Illinois,Will,
CA,California,Imperial,
CA,California,Los Angeles,
CA,California,Los Angeles,
CA,California,Los Angeles,
AK,Alaska,Southeast Fairbanks,
CA,California,Los Angeles,
AK,Alaska,Prince of Wales-Hyder,
CA,California,Los Angeles,
AK,Alaska,Prince of Wales-Hyder,
CO,Colorado,Pueblo,
CO,Colorado,Alamosa,
CO,Colorado,Adams,
CO,Colorado,Pueblo,Yes
CO,Colorado,Mesa,
CO,Colorado,Boulder,
CO,Colorado,El Paso,Yes
CO,Colorado,El Paso,
CO,Colorado,Prowers,
CO,Colorado,Otero,
CO,Colorado,Las Animas,
CO,Colorado,Routt,Yes
CO,Colorado,Montrose,Yes
AL,Alabama,Covington,
CA,California,Sacramento,
